Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10nF","SMD-0805",14.2240,26.4160,90.0000,bottom
"C2","100nF","SMD-0805",17.2720,25.4000,0.0000,bottom
"C3","10uF","SMD-0805",12.1920,15.7480,0.0000,bottom
"D1","BZV55C","Diode-MiniMELF_Standard",8.6360,17.7800,-90.0000,bottom
"J1","JUMP_3X2","Straight_2x03",3.5560,14.7320,0.0000,top
"J2","JUMP_2x1","Straight_1x02",3.5560,21.3360,90.0000,top
"J3","JUMP_3X2","Straight_2x03",3.5560,26.4160,0.0000,top
"M1","HOLE","MountingHole_3mm",5.0800,5.0800,0.0000,top
"M2","HOLE","MountingHole_3mm",5.0800,35.5600,0.0000,top
"M3","HOLE","MountingHole_3mm",15.2400,5.0800,0.0000,top
"M4","HOLE","MountingHole_3mm",15.2400,35.5600,0.0000,top
"R1","R","SMD-0805",8.1280,24.4475,-90.0000,bottom
"R2","R","SMD-0805",8.0645,21.3360,0.0000,bottom
"X1","ASFL1, ASFLK","ASFL1",14.2240,20.8280,180.0000,bottom
"X2","CFPS-72,CFPS-73","CFPS-72,73",14.2240,20.8280,180.0000,bottom
"X3","ISM92","ISM92",14.2240,20.8280,180.0000,bottom
"X4","ISM97","ISM97",14.2240,20.8280,180.0000,bottom
"X6","I533_I534_I733_I734_Series","I533_1534_1733_1734",14.2240,20.8280,180.0000,bottom
"X7","ISM81","ISM81",14.2240,20.8280,180.0000,bottom
"X8","ISM95","ISM95",14.2240,20.8280,180.0000,bottom
"X9","OSC-F","OSC-F",13.2080,20.8280,90.0000,top
